"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Spring1","Spring1",0.233997883453856,0.298095700818555,0.44338069806472,FALSE,FALSE,"Not sig."
"Prr5l","Prr5l",-0.2615455551058,0.344407596293648,0.489797249080802,FALSE,FALSE,"Not sig."
"Abcc10","Abcc10",0.756525793925358,0.00878486510191849,0.0380560644711735,TRUE,FALSE,"Up"
"Alpk2","Alpk2",0.543435514884388,0.148892656178872,0.273245677447889,FALSE,FALSE,"Not sig."
"Zswim6","Zswim6",-0.135913815860457,0.493145333963811,0.625604609372408,FALSE,FALSE,"Not sig."
"Abcc4","Abcc4",-0.538618789535638,0.0061388533138513,0.0290813402172593,FALSE,TRUE,"Down"
"Pkd1","Pkd1",0.321601042587452,0.0552025870805722,0.1389643460931,FALSE,FALSE,"Not sig."
"P2ry2","P2ry2",0.168968172723728,0.647855945673676,0.75340045058465,FALSE,FALSE,"Not sig."
"Fbxw8","Fbxw8",-0.122018956992495,0.502211752336187,0.6339021605378,FALSE,FALSE,"Not sig."
"Psmf1","Psmf1",-1.81704000935317,1.32481260403386e-06,3.38744565819951e-05,FALSE,TRUE,"Down"
"Smap2","Smap2",-0.0203036901077525,0.908009233985649,0.940701107782163,FALSE,FALSE,"Not sig."
"Cyb5r4","Cyb5r4",-0.693223572618775,0.000260429601638125,0.0023031226715693,FALSE,TRUE,"Down"
"Arhgef17","Arhgef17",-0.863182704165272,0.00101192160888765,0.00704145484407974,FALSE,TRUE,"Down"
"Acsl3","Acsl3",0.605415745490578,0.0205953109338234,0.0699649585567271,FALSE,FALSE,"Not sig."
"Rims3","Rims3",0.823070467198727,0.0795578709801941,0.178257800923565,FALSE,FALSE,"Not sig."
"Nfyc","Nfyc",0.161185588045631,0.377360820268635,0.520842601578432,FALSE,FALSE,"Not sig."
"Fbxo21","Fbxo21",0.341749169390451,0.117101174372072,0.231892478648435,FALSE,FALSE,"Not sig."
"Styk1","Styk1",-0.214901914399162,0.454877552913145,0.591529369068089,FALSE,FALSE,"Not sig."
"Slc16a1","Slc16a1",-1.47472750584227,1.90305467821994e-06,4.42248762166334e-05,FALSE,TRUE,"Down"
"Atg12","Atg12",-1.77301458894006,3.36943358127328e-08,2.08290748824622e-06,FALSE,TRUE,"Down"
"Sgpp2","Sgpp2",0.683027898848902,0.0451778997108268,0.121974497304468,FALSE,FALSE,"Not sig."
"Lrig2","Lrig2",0.239729601844798,0.17810054624035,0.309511668019685,FALSE,FALSE,"Not sig."
"Adgre4","Adgre4",0.762835286997492,0.0412529615019475,0.114455762522206,FALSE,FALSE,"Not sig."
"Hspa13","Hspa13",-0.834543979820051,0.00214762412296174,0.0129694586713411,FALSE,TRUE,"Down"
"Nup93","Nup93",0.623954753365763,0.00161210016163474,0.0103242883145624,TRUE,FALSE,"Up"
"Ucp3","Ucp3",0.250662497617099,0.600714709821097,0.714109946902973,FALSE,FALSE,"Not sig."
"Rasgrp2","Rasgrp2",-0.465359185809452,0.00438653511507596,0.0223766785199546,FALSE,TRUE,"Down"
"Ap4b1","Ap4b1",0.12025293932947,0.477320863009672,0.611963578862727,FALSE,FALSE,"Not sig."
"Pebp1","Pebp1",-0.611941832709343,0.0220776080835432,0.0735889748296899,FALSE,FALSE,"Not sig."
"Ift57","Ift57",-0.714517133004555,0.000628888904299933,0.0048150865528126,FALSE,TRUE,"Down"
"Fkbp1a","Fkbp1a",-0.904044823637388,2.32270300700737e-05,0.00031307841068674,FALSE,TRUE,"Down"
"Slx9","Slx9",0.359843049971683,0.115033128566578,0.228917020358703,FALSE,FALSE,"Not sig."
"Chpf","Chpf",0.179279658233854,0.495678163903895,0.62799245621706,FALSE,FALSE,"Not sig."
"Foxj3","Foxj3",0.530764731574221,0.00354480767632882,0.0190917560215667,TRUE,FALSE,"Up"
"Mycbp2","Mycbp2",0.492199719887766,0.00561368749875454,0.0271468841702777,TRUE,FALSE,"Up"
"Ogfod1","Ogfod1",0.430013728508268,0.0169353860705034,0.0608599622957594,FALSE,FALSE,"Not sig."
"Trim33","Trim33",0.0617417640778708,0.649094853686985,0.75435185394684,FALSE,FALSE,"Not sig."
"Nfatc1","Nfatc1",0.43015386065758,0.00281594498552371,0.0159680495360764,TRUE,FALSE,"Up"
"Polr2f","Polr2f",0.110014398849142,0.618998928464448,0.729235594564434,FALSE,FALSE,"Not sig."
