"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"103","ERVB4_1B-I_MM:ERVK:LTR","ERVB4_1B-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_1B-I_MM",-0.011728976305116,0.89159869495174,0.981181233483438,"Not Sig.",0.109124014214942,0.2051782580552,0.99994677260524,"Not Sig."
"104","ERVB4_1B-LTR_MM:ERVK:LTR","ERVB4_1B-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_1B-LTR_MM",0.0597866222045849,0.633933663566893,0.904286752011852,"Not Sig.",0.224019962489968,0.0727473262182209,0.99994677260524,"Not Sig."
"105","ERVB4_1C-LTR_Mm:ERVK:LTR","ERVB4_1C-LTR_Mm:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_1C-LTR_Mm",-0.0990773974333681,0.380369505146737,0.783050328119417,"Not Sig.",0.16733342670156,0.135764844793836,0.99994677260524,"Not Sig."
"106","ERVB4_2-I_MM:ERVK:LTR","ERVB4_2-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_2-I_MM",-0.0787305104410595,0.444534905986127,0.821670827277003,"Not Sig.",0.132832839227019,0.194235445086843,0.99994677260524,"Not Sig."
"107","ERVB4_2-LTR_MM:ERVK:LTR","ERVB4_2-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_2-LTR_MM",-0.240564423553982,0.0738194846966061,0.432139634383946,"Not Sig.",0.229262824689094,0.0840827365156915,0.99994677260524,"Not Sig."
"108","ERVB4_3-I_MM:ERVK:LTR","ERVB4_3-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_3-I_MM",0.131877270415654,0.247671951168213,0.681203600203459,"Not Sig.",0.162396668797072,0.151102074593475,0.99994677260524,"Not Sig."
"109","ERVB4_3-LTR_MM:ERVK:LTR","ERVB4_3-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB4_3-LTR_MM",0.0409150939314156,0.750456897368748,0.945123119130655,"Not Sig.",0.154046199561101,0.226574715423484,0.99994677260524,"Not Sig."
"110","ERVB5_1-I_MM:ERVK:LTR","ERVB5_1-I_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB5_1-I_MM",0.063491759223011,0.53328997302084,0.862032579856969,"Not Sig.",-0.0127170028385526,0.900612973196145,0.99994677260524,"Not Sig."
"111","ERVB5_1-LTR_MM:ERVK:LTR","ERVB5_1-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB5_1-LTR_MM",0.318543487231043,0.0185243952256908,0.23611923485916,"Not Sig.",-0.0284181353650828,0.83628084580257,0.99994677260524,"Not Sig."
"112","ERVB5_2-LTR_MM:ERVK:LTR","ERVB5_2-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB5_2-LTR_MM",0.279355230411607,0.0300904627169235,0.294648101945903,"Not Sig.",-0.0169066612458282,0.895091489429973,0.99994677260524,"Not Sig."
"113","ERVB7_1-LTR_MM:ERVK:LTR","ERVB7_1-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB7_1-LTR_MM",0.0472354353848534,0.800201533652282,0.958204530224667,"Not Sig.",0.392316873440936,0.0351297423605752,0.99994677260524,"Not Sig."
"114","ERVB7_2-LTR_MM:ERVK:LTR","ERVB7_2-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB7_2-LTR_MM",-0.106006162582376,0.486678372625551,0.843757701048209,"Not Sig.",0.190974839233576,0.206320711830036,0.99994677260524,"Not Sig."
"115","ERVB7_2B-LTR_MM:ERVK:LTR","ERVB7_2B-LTR_MM:ERVK:LTR",TRUE,"LTR","LTR/ERVK","ERVB7_2B-LTR_MM",0.0866360236550306,0.424369986613259,0.810005629042107,"Not Sig.",0.072252799451837,0.498777929497491,0.99994677260524,"Not Sig."
